question,answer
"采用三点法引导时, 考虑到命中点过载, 弹道目标容易受到以下 ( ) (2) 因素的影响。A 目标速度变化 B 目标机动 C 导弹速度",ABC
以下属于无线电指令制导的任务的是 ( ) ）。A搜索与选择目标B观测和跟踪目标C控制发射和观测导弹D引导导弹飞向目标 E发射一次指令,ABCD
无线电指令制导系统分为 ( ) )三种形式。A雷达跟踪指令制导系统BTVM指令制导系统C电视跟踪指令制导系统D红外寻的制导系统,ABC
以下属于无线电指令制导的任务的是 ( ) ）。A搜索与选择目标B观测和跟踪目标C控制发射和观测导弹D引导导弹飞向目标E发射一次指令,ABCD
下面关于红外线的说法正确的有 ( ) ）。A 红外线的波长比可见光长 B 红外线在大气中的传输衰减比可见光大 C 红外线具有明显的热效应 D 红外线可以以光速直线传播,ACD
传统喷气式飞机的红外辐射主要来自于 ( ) ）。A 尾喷口排出的高温燃气 B 发动机微喷管的加热部分 C 飞机机体蒙皮 D 流过机体表面的气流,ABC
红外像点在像平面上的位置用（） )描述。A斜距B高低角C方位角D失调量,CD
"调制盘的种类繁多, 按调制方式可以分为 ( ) ）。A调幅式B调频式C调相式D调宽式",ABCD
"对于全辐条式调制盘, 当像点面积不变, 位置向调制盘中心移动时, 会出现 ( )。A 调制信号波峰值减小 B 调制信号波谷值增大 C 调制深度减小 D 失调量增大",ABC
下面关于红外线的说法正确的有 ( ) )。A 红外线的波长比可见光短 B 红外线在大气中的传输衰减比可见光小 C 红外线具有明显的热效应 D 红外线可以以光速直线传播,BCD
传统喷气式飞机的红外辐射主要来自于 ( ) )。 A 尾喷口排出的高温燃气 B 发动机微喷管的加热部分 C 飞机机体蒙皮 D 流过机体表面的气流,ABC
红外像点在像平面上的位置用( ) )描述。A斜距B高低角C方位角D失调量,CD
"调制盘的种类繁多, 按调制方式可以分为 ( ) ）。A 调幅式B 调频式C 调相式D 调宽式",ABCD
"按发展历程和工作原理, 可将陀螺仪划分为哪些阶段。( ) ）A机械框架陀螺仪B光学陀螺仪C微机电陀螺仪D力学陀螺仪",ABC
平台式惯性导航系统主要由（） )组成。A物理平台B加速度计C陀螺仪D解算系统,ABCD
"平台式惯导系统分为解析式惯导系统和当地水平式惯导系统, 其中当地水平式惯导系统又可分为 ( ) ）A指北方位惯导系统B游移方位惯导系统C自由方位惯导系统D随机方位惯导系统",ABC
"平台式惯性导航系统的主要特点有 ( ) A 便于安装, 且能够隔离外界环境对平台内部元器件的影响 B 测量出来的导航信息就是相对于导航坐标轴的分量, 计算量相对较小 C 维修性变好 D 体积、质量、成本较小",AB
用于描述载体姿态的导航信息有 ( ) ）A航向角B高度角C滚转角D俯仰角,ACD
按发展历程和工作原理可将陀螺仪划分为 ( ) )阶段。A 机械框架陀螺仪 B 光学陀螺仪 C 微机电陀螺仪 D 力学陀螺仪,ABC
"平台式惯导系统分为解析式惯导系统和当地水平式惯导系统, 其中当地水平式惯导系统又可分为 ( ) ）。A指北方位惯导系统B游移方位惯导系统C自由方位惯导系统D随机方位惯导系统",ABC
"平台式惯性导航系统的主要特点有 ( ) ）。A 便于安装,且能够隔离外界环境对平台内部元器件的影响 B 测量出来的导航信息就是相对于导航坐标轴的分量,计算量相对较小 C 维修性变好 D 体积、质量、成本较小",AB
描述载体姿态的角度分别是（） ）。A航向角B高度角C滚转角D俯仰角,ACD
弹体系与速度系之间的坐标转换矩阵由以下欧拉角确定  A 滚动角 B 攻角 C 侧滑角 D  倾侧角,BC
弹体升力等于弹身、弹翼、尾翼和空气舵各自的升力之和阻力包括  A摩擦阻力B压差阻力C诱导阻力,ABC
弹身在飞行过程中，要承受  A 轴向力  B 剪力  C 弯矩  D  扭矩,ABCD
弹头小量钝度化，可以A减弱鼻尖应力集中B减小鼻尖气动加热C  减小阻力  D增加升力,AB
细长圆锥体弹身的法向力系数与下列因素有关  A攻角B侧滑角C圆柱体部分的长细比D马赫数,AC
采用STT机动，必要条件为  A攻角为零B弹体周对称C滚动角为零D侧滑角为零,BC
采用BTT机动，必要条件是  A攻角为零B弹体面对称C使用吸气式喷气发动机D侧滑角为零E倾侧角为零,BCD
气动数据六分量表定量表征了弹体气动外形设计与布局的  A气动效率  B操纵效率  C静稳定性  D操纵耦合特性  E弹体自然频率  F俯仰力矩随攻角改变的线性度,ABCDEF
气动数据六分量表是  A总体部门评价外形方案的依据  B弹道计算与仿真的依据  C姿态控制设计的依据  D发动机推力计算的依据,ABC
弹体的耦合包括A气动耦合B操纵耦合C惯性交叉耦合D欧拉运动学耦合,ABCD
选择相对量总体参数进行设计的好处有  A一些飞行性能本身与相对量有关，如理想速度与推进剂质量比有关B相对量为百分数，较容易直观估计C相对量属间接法，参数设计精度高D不需要迭代,AB
导弹方案设计中基本的相对量总体参数有  A推进剂质量比B起飞推重比  C截面载荷系数或翼载系数  D升阻比,ABC
巡航导弹发动机的推力选择与下列因素有关  A巡航速度B巡航高度C外形阻力系数和参考面积D探测器精度,ABC
导弹的制导系统主要包括( )。 A. 导引系统  B. 控制系统  C. 毁伤系统,AB
空气动力沿速度坐标系可以分解为( )。 A. 升力  B. 轴向力  C. 侧向力  D. 阻力,ACD
提高导弹静稳定性的方法有( )。 A. 改变弹翼外形  B. 改变弹翼面积  C. 调整重心位置  D. 改进控制方法,ABC
"对于在大气层内飞行的导弹,运动建模的理论基础是( )。 A. 牛顿第一定律  B. 动量矩定理  C. 牛顿第二定律  D. 能量守恒定律",BC
表征无控导弹飞行的运动方程组包括( )。 A. 6个动力学方程  B. 6个运动学方程  C. 1个质量变化方程  D. 3个角度关系方程,ABCD
"下列关于瞬时平衡假设,正确的有( )。 A. 假设转动惯量等于零  B. 忽略操纵机构偏转后导弹绕弹体轴旋转的过渡过程  C. 假设控制系统理想工作  D. 忽略控制系统工作的过渡过程和操纵机构偏转的过渡过程",ABCD
比例导引法的命中点过载与( )等因素相关。 A. 目标机动  B. 导弹速度  C. 目标速度  D. 目标机动,ABCD
按发展历程和工作原理可将陀螺仪划分为哪些阶段。( ) A. 机械框架陀螺仪  B. 光学陀螺仪  C. 微机电陀螺仪  D. 力学陀螺仪,ABC
利用陀螺仪的( )可以实现对载体姿态的测量。 A. 章动性  B. 定轴性  C. 表观进动性  D. 进动性,BD
平台式惯性导航系统主要由( )组成。 A. 物理平台  B. 加速度计  C. 陀螺仪  D. 解算系统,ABCD
"平台式惯性导航系统的主要特点有( )。 A. 便于安装,且能够隔离外界环境对平台内部元器件的影响  B. 测量出来的导航信息就是相对于导航坐标轴的分量,计算量相对较小  C. 维修性变好  D. 体积、质量、成本较小",AB
描述载体姿态的角度分别是( )。 A. 航向角  B. 高度角  C. 滚转角  D. 俯仰角,ACD
导弹制导系统的测量装置可测量以下哪些参数？（  ） A. 导弹的位置  B. 导弹的速度  C. 目标的位置  D. 目标的速度,ABCD
导弹按发射点与目标位置可分为（  ） A. 地对地导弹  B. 地对空导弹  C. 空对空导弹  D. 空对地导弹,ABCD
导弹动力装置的类型有（  ） A. 火箭发动机  B. 空气喷气发动机  C. 组合发动机  D. 太阳能发动机,ABC
导弹战斗部的装药类型包括（  ） A. 炸药  B. 核弹头  C. 化学战剂  D. 生物战剂,ABCD
导弹制导方式包括（  ） A. 自主式制导  B. 寻的制导  C. 遥控制导  D. 复合制导,ABCD
影响导弹射程的因素有（  ） A. 动力装置性能  B. 导弹重量  C. 飞行高度  D. 气象条件,ABCD
导弹弹体的作用有（  ） A. 安装各分系统  B. 承受载荷  C. 保证飞行稳定性  D. 提供升力,ABC
导弹发射方式有（  ） A. 陆基发射  B. 海基发射  C. 空基发射  D. 天基发射,ABCD
导弹按飞行弹道可分为（  ） A. 弹道导弹  B. 巡航导弹  C. 高超声速导弹  D. 滑翔导弹,AB
导弹的控制系统包括（  ） A. 姿态控制系统  B. 弹道控制系统  C. 发射控制系统  D. 安全自毁系统,ABC
"导弹由多个分系统组成,下面 属于导弹的分系统。 A. 战斗部系统 B. 电器与控制系统 C. 推进系统 D. 结构系统",ABCD
弹体结构中的机构一般主要有 等几类。 A. 展开机构 B. 操纵机构 C. 分离机构 D. 折叠机构,BCD
以下各项属于导弹结构系统研制初样阶段工作的是 A. 结构布局设计 B. 结构强度校核 C. 鉴定试验 D. 飞行试验,ABC
"以下外力中,属于质量力的有 A. 空气动力 B. 重力 C. 惯性力 D. 推力",BC
"在确定结构分析模型时,需要满足的基本原则包括 A. 应正确反映结构的实际特性 B. 应与分析目的相适应 C. 应与计算工具相适应 D. 应与计算方法相适应",ABCD
导弹结构动特性分析是为了得到 A. 固有频率 B. 结构阻尼 C. 振型 D. 动应力,AC
弹翼的功用包括 A. 产生升力 B. 产生推力 C. 产生控制力和力矩 D. 使导弹具有必要的操纵性和稳定性,ACD
以下弹翼属于骨架蒙皮式弹翼的有 A. 多梁式弹翼 B. 内撑梁式弹翼 C. 单块式弹翼 D. 实心壁板式弹翼,ABC
"单梁式弹翼的载荷传递给弹身接头时,主要转化为 A. 轴力 B. 剪力 C. 弯矩 D. 扭矩",BC
以下属于弹翼结构设计要求的是 A. 刚度要求 B. 外形准确度要求 C. 容积要求 D. 气动加热要求,ABD
桁条式结构弹身的蒙皮承受的载荷包括 A. 轴力 B. 剪力 C. 弯矩 D. 扭矩,ABCD
"套接作为舱段间的一种连接方式,其主要优点有 A. 工艺简单 B. 构造简单 C. 重量较轻 D. 偏差易于控制",BCD
"轴向盘式连接作为舱段间的一种连接方式,其主要优点有 A. 钻孔容易 B. 弯折偏差小 C. 重量较轻 D. 易提高刚度",ABD
"材料的力学性能参数中,表征材料强度的量是 A. 弹性模量 B. 泊松比 C. 屈服极限 D. 强度极限",CD
气动力是气流对导弹的反作用力,T
气动力是复杂的分布力系，与导弹的速度、气流与弹体的相对方位、高度等多因素有关,T
压心是根据力系简化原理，作用在导弹上的分布力系与一个合力作用等效的作用点。,T
压心与焦点不是一回事，焦点是仅因非零攻角引起的那部分升力的合力作用点。,T
风洞测量的气动系数是在弹体系中得到的，若要求速度系中的气动力，需要乘以对应的坐标系转换矩阵,T
在气动布局和外形尺寸给定下，弹体升力只与攻角和升降舵偏角有关。,F
横向稳定性是指短暂外界扰动力矩使弹体绕纵轴oX1倾斜之后，能自动恢复到平衡状态的能力。,T
民航飞机存在使机翼上翘的上反角以及后掠角，目的是增强横向稳定性。,T
静稳定与否仅与弹体的外形布局和质量分布有关！,T
若弹体静稳定，俯仰力矩系数对攻角的偏导数大于零！,F
只要弹体是静稳定的，就一定能提供恢复力矩！,T
凡是无控飞行器如火箭弹、再入弹头都必须是静稳定的！,T
影响弹体偏航力矩的主要因素是侧滑角、方向舵偏角及其偏导数,T
航向静稳定性也只与外形布局有关！,T
铰链力矩是空气舵上的气动力对舵轴的力矩，与舵机的输出力矩无关！,T
舵机输出力矩至少应大于铰链力矩，选择舵机时一般为其2倍。,T
惯性导航是一种基本的自主导航方式，取决于惯性器件如加速度计测量弹体质心的加速度、惯性姿态陀螺测量姿态或角速率的精度，与外界无关！,T
捷联导航的另一主要误差源是初始对准误差。,T
卫星导航定位可以清除惯性导航因器件陀螺漂移带来的累计误差，因此可不必安装惯性导航装置。,F
舵机的输出力矩若越大，频宽就越窄，响应越慢。,T
若弹翼设计使得前缘处在马赫线的后面，此时马赫角小于前缘角，称为亚声速前缘，不存在波阻。,T
地空导弹弹翼面积取决于所需的机动过载，亚声速巡航导弹弹翼面积取决于所需升阻比。,T
弹翼尺寸的确定基于设计的弹翼面积与事先选择的几何参数如展弦比、根稍比和后掠角。,T
在外形布局选定后，空气舵的设计取决于所需的操纵效率即操稳比和舵的铰链力矩。,T
一般亚声速飞行器的弹翼具有较大的展弦比，超音速飞行器具有较小的展弦比小于2,T
导弹最大升阻比与升力线斜率的平方根成正比，与零升阻力系数的平方根成反比。,T
翼的斜掠可有效减小超音速飞行时的波阻。,T
弹体总的法向力系数近似为弹身、弹翼、尾翼的法向力系数之和。,T
导弹的静稳定度不仅与外形设计有关，还与质量分布有关，也随飞行时间改变。,T
在导弹设计中，通常最后是设计尾翼的面积来满足静稳定裕度要求的。,T
“X”字形布局和“+”字形布局的静稳定裕度相等。,F
虽然导弹的弹体动力学为非线性，工程试验表明分段线性化可以运用经典的线性化理论研究与设计导弹的控制稳定性。,T
无控弹体的起飞速度越低，重力对飞行稳定性的不利影响越严重。,T
无控弹体必须静稳定才可能动稳定。,T
探空火箭因为是无控的，外形设计不仅要静稳定，而且必须有足够的恢复力矩抵抗切变风等的扰动力矩。,T
弹体扰动运动的稳定性可以只考虑3阶的短周期扰动运动。,T
操稳比与工作点（例如当前配平攻角和舵偏角）有关，也与该工作点处的力矩系数斜率（如俯仰力矩系数对攻角的偏导数、操纵力矩系数对舵偏角的偏导数）有关。,T
操稳比是配平攻角的增量与舵偏角的增量之比，需依据气动系数表和力矩系数增量平衡方程计算。,T
线性度分许就是在给定的工作点处，给出某一项力矩与对应自变量的函数曲线，分析线性比例度。,T
由于横向尺寸小，为节省空间和减轻重量，导弹通常没有专门的副翼。,T
每一个舵的偏转都会对弹体的三个轴产生相应的控制力矩。,T
从3等效舵偏角到4个实践的舵偏角的分配矩阵不唯一。,T
静不稳定弹体的飞行稳定性必须有负反馈控制，构成人工阻尼。,T
气动数据六分量表定量反应了外形设计与部位安排共同导致的气动特性。,T
静不稳定弹体的操纵比静稳定弹体的操纵相对要难一些，而且对舵机的输出力矩和频宽也要求高一些。,T
部位安排时，通常导引头布置在弹身最前端的头罩内，之后是战斗部、仪器舱（含导航与电子仪器设备），最后是发动机。,T
弹身头部形状及长细比，弹弹身圆柱段的长度、直径、弹翼、尾翼的形状和面积及其安装位置，不仅影响升阻比、机动过载，还影响稳定性。,T
部位安排除保证各部件功能有机结合之外，还要考虑弹体的质量布局尽可能满足弹体坐标轴为中心惯量主轴、惯量张量为对角阵。,T
总体设计选择发动机方案时总是优先选择现有的成熟技术，或者仅需小量改造。,T
火箭发动机和吸气式喷气发动机的主要区别在于前者携带氧化剂，而后者不但不带反要吸入空气。,T
涡喷发动机的涡轮起动后，是靠燃烧室中的燃气推动工作循环的。,T
冲压发动机没有压气机、涡轮等转子部件，靠进气道冲压实现增压。,T
冲压发动机不能直接起动，需要助推器加速至马赫数2.5左右,T
典型战术导弹发动机（如反坦克、地空导弹）常分为助推级或续航级两级，或者单室双推力。助推级推力大，时间短；而续航级推力小，但工作时间比前者长。,T
弹道导弹与其它战术导弹相比，所采用的固体火箭发动机的直径大，推力大，工作时间长。,T
固体火箭发动机的燃烧时间一般不超过70秒。,T
固体火箭发动机的内弹道是指根据装药燃烧所决定的燃烧室压力、推力随时间的变化关系，即压力或推力- 时间曲线。,T
中远程弹道导弹的发动机如美国的民兵2-，民兵-3具有推力矢量机构，才能操纵飞行姿态。,T
远程导弹的固体发动机壳体采用纤维缠绕壳体，而战术导弹发动机一般采用低成本的高强度金属或合金材料。,T
调整星形装药的参数就可以调整内弹道的推力曲线,T
星形装药与其它药形比较，推力较大，参数可调，常被弹道导弹和一些战术导弹的助推级使用。,T
决定导弹战术飞行性能如射程、速度或过载等的主要参数，称为总体参数。,T
质量方程中的推进剂质量系数不是依据经验，而是要根据飞行性能约束如关键速度或射程计算得到。,T
导出型质量方程具有统计上的意义，因为发动机结构质量系数、弹体结构质量系数要依据经验或统计数据估计。,T
推重比是随助推时间改变的，但总体参数设计关心的是起飞推重比或平均推重比！,T
巡航导弹翼载系数是按最大升阻比原则设计的，而地空导弹是按最大需要过载原则设计的。,T
翼载系数参数中的面积S，可以是弹翼的面积或弹身的横截面积，本质上是数值计算气动系数时所对应的参考面积！选择翼载系数，目的是为得到提供所需升力大小对应的参考面积。,T
对于弹道导弹，如果事先根据型谱选定了发动机直径，那么起飞截面载荷系数中的参考面积S就是确定了的弹身横截面积，不需再选择起飞截面载荷系数反算弹身横截面积。,T
直接法中，结构质量和装药质量均要尽可能准确表示成发动机参数如直径、长度、喉部直径或燃烧室压力、喷管扩张面积比、装药参数等的函数，内弹道推力也是这些参数的函数，具有内在因果关系。,T
弹道导弹作战过程的第一步就是针对给定的目标和设定的发射点，设计标准飞行弹道，理论上使导弹沿着标准弹道飞行。,T
在方案设计阶段，弹道设计为结构与防热子系统提供气动载荷、惯性载荷、温度载荷等输入参数，为制导与控制子系统设计提供所需的弹道参数。,T
主动段设立常值姿态角瞄准段是为了保证关机前的姿态稳定精度。,T
弹道设计包括瞄准方位角的计算和俯仰飞行程序角的计算，俯仰程序角又假设为系列参数表达的函数、最终为寻找满足弹着点和其它约束条件的参数解。,T
求解导弹最佳飞行程序问题其实是求泛函极值问题，泛函的自变量是俯仰程序角虽时间的变化函数。,T
平行重力场中真空段的最优飞行程序解虽是一个复杂的反正切函数式，工程设计中，为简化起见可以用俯仰角随时间的线性函数近似。,T
全程控制的助推滑翔对地精确打击导弹，为加速收敛，主动段、滑翔段弹道参数设计时，对末段再入可嵌入带落角约束的最优再入比例导引方法以便满足落点和落角约束，进行弹道与制导方法的一体化设计。,T
摄动制导要有一条事先设计好的基准标称弹道，且偏差干扰是小量才有较好的制导控制效果,T
摄动制导方法的实质是在标称弹道上的各点处，对引起弹道改变的偏差变量进行泰勒展开，取一阶线性项，进行偏差反馈控制的。,T
速度增益是满足飞行弹道落点的需要速度矢量与当前速度矢量之差,T
速度增益制导常用于大气层外弹道导弹末级关机控制。,T
导弹姿态控制器设计不需要考虑舵机环节的动力学传递函数,F
导弹是强烈的非线性时变系统，姿态控制设计是在一系列特征点处对动力学进行小扰动泰勒级数展开，取一阶项进行线性化，这样就可沿用经典的线性系统控制方法如基于传递函数的控制器设计方法获得该点的线性控制器，不同的工作  点只要进行控制参数的增益调度。,T
弹道式飞行的姿态控制输入指令是对与标准弹道对应的程序角进行制导校正得到的姿态角指令。,T
经典的时域PID控制器或者频域超前滞后校正环节，是基本的姿态控制器结构，考虑到舵机动力学的阶数和延迟影响，控制器的传递函数可能高于二阶。,T
积分环节的功能是消除常值干扰，但噪声处理不好容易导致饱和溢出而不稳定。,T
控制器设计事先要计算工作点处扰动的偏导数，得到线性化动力学系数，给出从等效舵偏角到姿态角或攻角等输出的传递函数模型，才能基于自动控制原理理论设计校正器。,T
亚音速飞行器，若采用扁平升力体，升阻比大于轴对称体,T
描述导弹气动外形设计效率的指标不是升阻比，而是静稳定性。,F
战术导弹弹体设计因弹径小使得气动舵的滚动控制效率低。,T
材料和结构的强度指的是材料和结构在载荷、温度等工作环境下抵抗破坏和保持正常工作的能力。,T
有限元法是结构分析中常用的一种精确求解方法。,F
导弹结构动特性分析结果可以作为结构与其他系统的干扰耦合分析的依据。,T
振型阻尼比在共振区对减小动响应峰值有显著作用，在非共振区没有作用。,F
变形发散是指在结构变形与空气动力交互作用下，结构变形的周期性单调发散现象。,F
操纵面不属于弹翼。,F
在弹翼设计过程中，除满足飞行器结构设计的基本要求，还需满足外形准确度、刚度、气动加热等特殊要求。,T
梁式蜂窝夹层结构弹翼的蜂窝夹心一般沿弦向排列。,F
传力分析时既要考虑主要受力元件上力的总体传递，又要考虑次要受力元件以及次要受力部位。,F
耳片式接头的主接头能传递弹翼的全部弯矩和绝大部分剪力，但不传递弹翼扭矩。,F
在梁式弹身结构中，梁是承受轴向力和弯矩的主要受力元件。,T
普通框的截面面积主要按工艺刚度要求确定。,T
加强框主要承受大的分布载荷。,F
为了提高弹身结构设计水平，设计计算必须在主要受力元件布局确定之前进行。,F
弹身各元件的剩余强度系数η必须大于1，且η越大说明结构设计越合理。,F
弹身的扭转偏差会引起头部的附加攻角。,F
制锁机构的作用是在导弹操作面偏转后可靠地锁定操纵机构。,F
传速比变换机构用途是根据飞行参数调整操纵面的偏转角，以适应导弹稳定性和操纵性要求，并限制过大的横向载荷。,T
舵面的布置形式也是操纵机构的一个设计初始条件。,T
在所有操纵机构设计中，都有传动关系、刚度、活动游隙、运动独立性等四方面的设计要求。,F
温度升高时，金属材料的强度一般会提高。,F
钢的强度和刚度比铝合金要高很多，弹身壳体常选用钢。,F
材料的疲劳极限代表了材料的抗疲劳性能，一般小于材料的静强度极限。,T
应力强度因子代表了含裂纹材料抵抗断裂破坏的能力。,F
镁合金的缺点是屈服强度和弹性模量低，耐腐蚀性能差。,T
钛合金突出的优点是强度虽然比合金钢小很多，但比强度比合金钢高。,F
纤维增强复合材料的主要优点是各个方向均具有较高的比强度和比刚度。,F
纤维增强复合材料的抗疲劳性能和减振性能均较差。,F
导弹结构分离面的选择与材料的选择均属于导弹结构设计的内容。 (),T
导弹结构的工作环境属于其设计的原始条件。 (),T
导弹体坐标系的原点在其压心处。 (),F
"导弹采用吊车运转时,垂直于地面向上提升产生的加速度为 $9.8\mathrm{m / s}^{2}$ ,这时导弹的横向过载系数 $n_{\mathrm{yl}}$ 约为1。 ()",F
"在确定导弹的设计情况时,需对所有可能的弹道都进行计算。 ()",F
结构的强度用材料的力学性能(如比例极限、强度极限、断裂韧性等)表示。 (),F
"用传递矩阵法求导弹固有频率时,所求得频率的最高阶数等于节点个数。 ()",F
"弹体结构固有频率应与控制系统频率接近,以便于导弹的控制。 ()",F
"操纵反逆是指由于结构变形与空气动力交互作用引起操纵面效能降低,以致丧失甚至反逆的现象。 ()",T
按翼弦等百分线布置的翼梁比垂直于弹身轴线布置的翼梁的加工工艺性好。 (),T
导弹的传力分析是一种定量的分析。 (),F
传力路线是外载荷由作用处经过结构内部传给支座的路线。 (),T
弹身上的部分受力式口盖只参加受剪而不参加承受轴向力。 (),T
"相邻舱段结合面的弯折偏差会造成发动机的推力偏心,但错移偏差不会。()",F
操纵机构的传动关系一般是线性的。(),F
操纵机构的结构通常按刚度指标进行设计。(),T
操纵机构的运动独立性要求是针对差动舵面提出的特殊要求。(),T
单层的纤维增强复合材料各个方向的力学性能都比金属材料的好。(),F
"根据导引指令形成部位不同,遥控制导分为遥控指令制导和波束制导。",T
弹体坐标系和地面坐标系之间的变换矩阵可以通过两次旋转求得。,F
俯仰力矩、偏航力矩和滚转力矩是空气动力相对于导弹质心的力矩。,T
"根据右手定则判断,使导弹向左产生偏航运动的力矩是正的偏航力矩。",T
"为保证导弹沿预定的弹道飞行,导弹的需用过载应当大于可用过载。",F
"采用平行接近法导引时,导弹的需用法向过载大于目标的法向过载。",F
追踪法导引是指导弹的弹头方向指向目标的一种方法。,F
比例导引法具有弹道前弯后直、命中过载易受影响、工程应用广泛等特点。,T
追踪法和三点法都是比例导引法的特殊形式。,F
"采用三点法导引时,导弹位于目标和制导站的连线上。",T
三点法的弹道特点是弹道比较平直、动态误差难以补偿、弹道有下沉现象。,F
"无线电寻的制导是利用装在导弹上的设备接收目标辐射或反射的无线电波,实现对目标的跟踪并形成制导指令,引导导弹飞向目标的一种制导方法。",T
采用主动式无线电寻的制导系统的导弹通常也称为反辐射导弹。,F
"雷达导引头接收系统中的射频放大器也称前置微波组件,将接收到的回波信号进行直接放大,并减小本身噪声,其作用主要是提高接收机的灵敏度。",T
